Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018",Number of discharges 2017,25th percentile 2017,Median 2017,75th percentile 2017,Difference in medians,Percent difference from 2017
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Milwaukie Hosp,34,583,792,976,33,551,750,1036,42,0.056
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Newberg Med Ctr,52,655,890,892,63,653,889,889,1,0.001
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Portland Med Ctr,120,519,792,1191,110,544,656,922,136,0.207
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence St Vincent Med Ctr,154,577,792,1313,120,551,750,1036,42,0.056
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Providence Willamette Falls Med Ctr,41,583,792,1166,37,551,750,1036,42,0.056
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Salem Health Salem Hosp,88,545,1015,1183,112,406,670,935,345,0.515
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Samaritan Albany Gen Hosp,34,1150,1280,1583,32,1116,1277,1490,3,0.002
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Samaritan Lebanon Comm Hosp,30,1116,1116,1707,20,1060,1187,1622,-71,-0.06
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Samaritan North Lincoln Hosp,25,1092,1589,1707,11,1116,1707,1707,-118,-0.069
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Santiam Hosp,13,979,1094,1376,20,922,1029,1062,65,0.063
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Sky Lakes Med Ctr,18,1620,1731,2146,18,1395,1842,1867,-111,-0.06
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,St Anthony Hospital,38,1465,1817,1909,27,1457,1730,1730,87,0.05
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Tuality Comm Hosp,11,820,1127,1481,11,1097,1126,1423,1,0.001
Diagnostic Imaging and Testing,Nuclear medicine: GI,0,Willamette Valley Med Ctr,18,1038,1335,1346,13,1057,1263,1263,72,0.057
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,1,Statewide,1481,709,1073,1538,1464,675,1036,1359,37,0.036
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Adventist Med Ctr,11,675,912,1550,10,779,1011,2095,-99,-0.098
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Asante Rogue Valley Med Ctr,36,1230,1389,1423,35,970,1227,1269,162,0.132
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Asante Three Rivers Med Ctr,33,1312,1501,1501,27,1238,1355,1502,146,0.108
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Columbia Mem Hosp,13,1580,2282,3231,10,2184,2331,2331,-49,-0.021
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Good Samaritan Regional Med Ctr,33,1033,1130,1130,31,1013,1075,1156,55,0.051
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Grande Ronde Hosp,10,1308,1308,1442,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Kaiser Sunnyside Med Ctr,130,1078,1538,1746,108,1056,1078,1078,460,0.427
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Kaiser Westside Med Ctr,84,1078,1538,1824,107,1056,1078,1522,460,0.427
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Emanuel Med Ctr,13,1294,1458,2163,13,1251,1327,2085,131,0.099
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Good Samaritan Med Ctr,58,976,1200,2611,66,967,1327,2697,-127,-0.096
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Meridian Park Med Ctr,59,919,1276,2085,43,976,1234,2697,42,0.034
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Mount Hood Med Ctr,20,636,1073,2464,15,969,1234,2544,-161,-0.13
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Legacy Silverton Med Ctr,11,386,507,778,13,490,582,761,-75,-0.129
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Mercy Med Ctr,18,1190,1311,1634,18,912,1208,2965,103,0.085
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Mid-Columbia Med Ctr,10,972,1217,1366,11,1163,1450,2388,-233,-0.161
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,OHSU Hosp,135,1024,1905,2660,132,927,1861,2596,44,0.024
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,136,928,995,1304,126,931,1259,1259,-264,-0.21
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Hood River Mem Hosp,15,1327,2864,2864,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Medford Med Ctr,29,977,1044,1189,33,1046,1102,1154,-58,-0.053
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Newberg Med Ctr,16,264,463,652,20,460,460,651,3,0.007
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Portland Med Ctr,190,389,696,855,178,352,388,715,308,0.794
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence St Vincent Med Ctr,233,411,533,1024,279,388,681,1036,-148,-0.217
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Willamette Falls Med Ctr,27,411,533,991,31,388,681,936,-148,-0.217
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Salem Health Salem Hosp,52,804,923,1187,45,523,788,923,135,0.171
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Samaritan North Lincoln Hosp,13,961,1012,1033,10,433,992,992,20,0.02
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Sky Lakes Med Ctr,10,1178,1424,1620,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Tuality Comm Hosp,14,1009,1187,1363,11,825,825,1325,362,0.439
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Willamette Valley Med Ctr,17,1119,1783,2527,,,,,,
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,1,Statewide,199,602,958,1336,169,582,795,1284,163,0.205
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Kaiser Sunnyside Med Ctr,32,602,690,690,25,582,602,602,88,0.146
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Kaiser Westside Med Ctr,20,602,690,824,30,582,602,602,88,0.146
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,OHSU Hosp,27,1219,1280,1371,24,940,1236,1299,44,0.036
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,15,457,1203,1588,17,399,1202,1622,1,0.001
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Providence Portland Med Ctr,11,225,237,976,11,214,214,922,23,0.107
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Providence St Vincent Med Ctr,28,234,576,1319,19,214,214,1375,362,1.692
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Samaritan Albany Gen Hosp,11,853,1086,1694,,,,,,
Diagnostic Imaging and Testing,Ultrasound,1,Statewide,64346,275,416,698,61848,263,403,680,13,0.032
Diagnostic Imaging and Testing,Ultrasound,0,Adventist Med Ctr,910,331,442,663,678,316,428,632,14,0.033
Diagnostic Imaging and Testing,Ultrasound,0,Adventist Tillamook Reg Med Ctr,251,445,464,820,229,394,419,727,45,0.107
Diagnostic Imaging and Testing,Ultrasound,0,Asante Ashland Comm Hosp,567,432,637,1029,583,500,693,1003,-56,-0.081
Diagnostic Imaging and Testing,Ultrasound,0,Asante Rogue Valley Med Ctr,2114,351,583,807,1951,341,508,819,75,0.148
Diagnostic Imaging and Testing,Ultrasound,0,Asante Three Rivers Med Ctr,929,327,437,657,933,412,502,758,-65,-0.129
Diagnostic Imaging and Testing,Ultrasound,0,Blue Mountain Hosp,126,408,490,887,157,417,582,887,-92,-0.158
Diagnostic Imaging and Testing,Ultrasound,0,Columbia Mem Hosp,502,428,588,945,459,490,662,1120,-74,-0.112
Diagnostic Imaging and Testing,Ultrasound,0,Coquille Valley Hosp,98,515,627,846,70,365,555,789,72,0.13
Diagnostic Imaging and Testing,Ultrasound,0,Curry Gen Hosp,231,451,676,952,256,417,664,909,12,0.018
Diagnostic Imaging and Testing,Ultrasound,0,Good Samaritan Regional Med Ctr,1644,368,527,766,1493,354,510,743,17,0.033
Diagnostic Imaging and Testing,Ultrasound,0,Good Shepherd Med Ctr,497,709,899,1460,437,636,749,1351,150,0.2
Diagnostic Imaging and Testing,Ultrasound,0,Grande Ronde Hosp,794,421,675,1188,629,371,550,645,125,0.227
Diagnostic Imaging and Testing,Ultrasound,0,Harney District Hosp,234,462,624,901,168,424,475,872,149,0.314
Diagnostic Imaging and Testing,Ultrasound,0,Kaiser Sunnyside Med Ctr,7196,308,440,844,6473,301,428,791,12,0.028
Diagnostic Imaging and Testing,Ultrasound,0,Kaiser Westside Med Ctr,4939,308,498,867,4704,301,440,813,58,0.132
Diagnostic Imaging and Testing,Ultrasound,0,Lake District Hosp,73,514,594,1060,102,522,620,761,-26,-0.042
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Emanuel Med Ctr,1456,325,398,627,1304,289,370,588,28,0.076
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Good Samaritan Med Ctr,2195,319,499,660,2273,279,482,615,17,0.035
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Meridian Park Med Ctr,1418,314,382,610,1399,279,398,597,-16,-0.04
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Mount Hood Med Ctr,1028,314,419,628,990,279,370,610,49,0.132
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Silverton Med Ctr,1062,227,271,384,1143,216,262,394,9,0.034
Diagnostic Imaging and Testing,Ultrasound,0,Lower Umpqua Hosp,48,601,713,941,43,527,598,739,115,0.192
Diagnostic Imaging and Testing,Ultrasound,0,McKenzie-Willamette Med Ctr,136,153,470,1050,153,299,443,1052,27,0.061
Diagnostic Imaging and Testing,Ultrasound,0,Mercy Med Ctr,1442,384,551,808,1499,323,491,700,60,0.122
Diagnostic Imaging and Testing,Ultrasound,0,Mid-Columbia Med Ctr,527,483,665,987,514,461,611,673,54,0.088
Diagnostic Imaging and Testing,Ultrasound,0,OHSU Hosp,5302,330,408,628,5177,321,388,619,20,0.052
Diagnostic Imaging and Testing,Ultrasound,0,PeaceHealth Cottage Grove Comm Hosp,162,187,234,364,126,173,203,242,31,0.153
Diagnostic Imaging and Testing,Ultrasound,0,PeaceHealth Peace Harbor Med Ctr,159,196,250,404,204,203,242,407,8,0.033
Diagnostic Imaging and Testing,Ultrasound,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,26,282,387,429,24,384,426,499,-39,-0.092
Diagnostic Imaging and Testing,Ultrasound,0,Pioneer Mem Hosp-Heppner,31,618,718,769,37,577,618,721,100,0.162
Diagnostic Imaging and Testing,Ultrasound,0,Providence Hood River Mem Hosp,623,236,543,722,617,249,544,749,-1,-0.002
Diagnostic Imaging and Testing,Ultrasound,0,Providence Medford Med Ctr,1315,172,406,653,1373,183,483,737,-77,-0.159
Diagnostic Imaging and Testing,Ultrasound,0,Providence Milwaukie Hosp,1740,145,298,362,1514,136,267,403,31,0.116
Diagnostic Imaging and Testing,Ultrasound,0,Providence Newberg Med Ctr,1530,136,292,421,1533,162,345,439,-53,-0.154
Diagnostic Imaging and Testing,Ultrasound,0,Providence Portland Med Ctr,6143,136,247,338,5916,136,242,321,5,0.021
Diagnostic Imaging and Testing,Ultrasound,0,Providence Seaside Hosp,309,234,538,792,366,279,558,806,-20,-0.036
Diagnostic Imaging and Testing,Ultrasound,0,Providence St Vincent Med Ctr,5051,143,274,390,5385,137,263,407,11,0.042
Diagnostic Imaging and Testing,Ultrasound,0,Providence Willamette Falls Med Ctr,1613,143,255,368,1533,136,261,389,-6,-0.023
Diagnostic Imaging and Testing,Ultrasound,0,Salem Health Salem Hosp,1160,254,404,483,1134,223,377,464,27,0.072
Diagnostic Imaging and Testing,Ultrasound,0,Salem Health West Valley Hosp,519,336,524,706,483,287,467,752,57,0.122
Diagnostic Imaging and Testing,Ultrasound,0,Samaritan Albany Gen Hosp,1333,366,477,766,1255,377,527,766,-50,-0.095
Diagnostic Imaging and Testing,Ultrasound,0,Samaritan Lebanon Comm Hosp,690,366,527,743,676,362,527,743,0,0
Diagnostic Imaging and Testing,Ultrasound,0,Samaritan North Lincoln Hosp,292,375,555,728,234,457,692,743,-137,-0.198
Diagnostic Imaging and Testing,Ultrasound,0,Samaritan Pacific Comm Hosp,414,380,552,728,389,372,524,720,28,0.053
Diagnostic Imaging and Testing,Ultrasound,0,Santiam Hosp,655,215,373,617,619,234,362,628,11,0.03
Diagnostic Imaging and Testing,Ultrasound,0,Shriners Hosp for Children-Portland,14,158,215,221,,,,,,
Diagnostic Imaging and Testing,Ultrasound,0,Sky Lakes Med Ctr,1334,636,738,1218,1440,667,733,1157,5,0.007
Diagnostic Imaging and Testing,Ultrasound,0,Southern Coos Hosp and Hlth Ctr,98,383,439,665,64,369,687,750,-248,-0.361
Diagnostic Imaging and Testing,Ultrasound,0,St Alphonsus Med Ctr-Baker City,207,441,568,1108,181,359,522,708,46,0.088
Diagnostic Imaging and Testing,Ultrasound,0,St Alphonsus Med Ctr-Ontario,163,355,466,592,147,389,469,722,-3,-0.006
Diagnostic Imaging and Testing,Ultrasound,0,St Anthony Hospital,430,555,727,1341,422,468,615,900,112,0.182
Diagnostic Imaging and Testing,Ultrasound,0,St Charles Med Ctr-Bend,140,309,476,686,197,275,404,563,72,0.178
Diagnostic Imaging and Testing,Ultrasound,0,St Charles Med Ctr-Madras,140,359,546,861,138,469,539,864,7,0.013
Diagnostic Imaging and Testing,Ultrasound,0,St Charles Med Ctr-Prineville,200,311,515,581,175,343,506,637,9,0.018
Diagnostic Imaging and Testing,Ultrasound,0,St Charles Med Ctr-Redmond,311,361,573,767,226,456,573,828,0,0
Diagnostic Imaging and Testing,Ultrasound,0,Tuality Comm Hosp,934,336,467,707,794,280,443,629,24,0.054
Diagnostic Imaging and Testing,Ultrasound,0,Wallowa Mem Hosp,181,427,560,1134,211,394,522,1080,38,0.073
Diagnostic Imaging and Testing,Ultrasound,0,Willamette Valley Med Ctr,710,334,406,669,614,332,419,664,-13,-0.031
Diagnostic Imaging and Testing,X-ray: Abdomen GI,1,Statewide,5579,119,207,340,5356,69,189,307,18,0.095
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Adventist Med Ctr,53,149,218,349,51,139,192,238,26,0.135
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Adventist Tillamook Reg Med Ctr,47,125,142,217,49,125,127,170,15,0.118
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Asante Rogue Valley Med Ctr,181,237,251,462,192,217,221,354,30,0.136
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Asante Three Rivers Med Ctr,62,223,237,330,68,221,281,392,-44,-0.157
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Blue Mountain Hosp,20,196,388,396,22,196,388,396,0,0
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Columbia Mem Hosp,78,190,198,202,97,190,202,277,-4,-0.02
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Curry Gen Hosp,49,211,225,259,50,201,202,214,23,0.114
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Good Samaritan Regional Med Ctr,145,217,256,484,122,218,256,465,0,0
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Good Shepherd Med Ctr,66,354,380,719,59,314,333,428,47,0.141
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Grande Ronde Hosp,58,223,309,430,72,214,223,409,86,0.386
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Harney District Hosp,24,245,253,472,18,231,371,387,-118,-0.318
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Kaiser Sunnyside Med Ctr,111,321,321,368,87,314,321,321,0,0
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Kaiser Westside Med Ctr,283,90,102,122,283,69,72,214,30,0.417
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Emanuel Med Ctr,206,191,232,328,138,77,185,311,47,0.254
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Good Samaritan Med Ctr,128,168,200,307,156,82,185,312,15,0.081
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Meridian Park Med Ctr,185,179,200,232,196,64,97,185,103,1.062
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Mount Hood Med Ctr,75,185,206,352,56,73,185,192,21,0.114
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Silverton Med Ctr,86,41,50,86,87,40,49,81,1,0.02
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,McKenzie-Willamette Med Ctr,48,119,308,902,12,189,437,577,-129,-0.295
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Mercy Med Ctr,228,263,366,425,314,197,263,364,103,0.392
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Mid-Columbia Med Ctr,57,186,259,590,81,179,272,377,-13,-0.048
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,OHSU Hosp,541,188,292,542,428,172,212,349,80,0.377
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,PeaceHealth Cottage Grove Comm Hosp,11,62,66,70,11,61,65,78,1,0.015
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,PeaceHealth Peace Harbor Med Ctr,11,65,134,141,19,64,79,143,55,0.696
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,54,222,253,745,,,,,,
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Hood River Mem Hosp,62,122,158,381,72,135,166,373,-8,-0.048
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Medford Med Ctr,127,150,195,294,154,191,207,262,-12,-0.058
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Milwaukie Hosp,205,34,85,166,173,25,42,93,43,1.024
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Newberg Med Ctr,247,38,131,183,204,30,50,137,81,1.62
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Portland Med Ctr,347,34,62,144,297,25,37,116,25,0.676
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Seaside Hosp,34,132,149,444,46,191,309,522,-160,-0.518
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence St Vincent Med Ctr,614,34,115,172,696,25,64,129,51,0.797
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Willamette Falls Med Ctr,106,35,127,191,105,25,44,129,83,1.886
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Salem Health Salem Hosp,142,116,168,253,134,100,140,228,28,0.2
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Salem Health West Valley Hosp,19,107,150,160,26,93,134,214,16,0.119
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Samaritan Albany Gen Hosp,158,217,230,249,93,208,223,230,7,0.031
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Samaritan Lebanon Comm Hosp,82,223,223,465,56,223,223,384,0,0
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Samaritan North Lincoln Hosp,27,218,257,465,28,223,336,433,-79,-0.235
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Samaritan Pacific Comm Hosp,59,218,218,252,57,208,223,336,-5,-0.022
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Santiam Hosp,86,169,225,368,90,113,214,399,11,0.051
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Sky Lakes Med Ctr,169,280,301,490,147,294,295,456,6,0.02
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Alphonsus Med Ctr-Ontario,22,216,360,491,,,,,,
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Anthony Hospital,40,326,343,343,38,310,326,326,17,0.052
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Charles Med Ctr-Bend,29,196,207,231,37,215,308,455,-101,-0.328
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Charles Med Ctr-Madras,23,212,234,483,18,48,258,295,-24,-0.093
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Charles Med Ctr-Prineville,20,215,263,295,17,239,261,494,2,0.008
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Charles Med Ctr-Redmond,24,208,251,359,36,171,239,261,12,0.05
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Tuality Comm Hosp,56,143,189,282,62,38,169,238,20,0.118
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Wallowa Mem Hosp,12,229,333,342,,,,,,
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Willamette Valley Med Ctr,23,177,185,192,31,176,192,364,-7,-0.036
Diagnostic Imaging and Testing,X-ray: Chest,1,Statewide,20699,74,189,257,21232,52,166,249,23,0.139
Diagnostic Imaging and Testing,X-ray: Chest,0,Adventist Med Ctr,301,149,180,294,284,116,165,212,15,0.091
Diagnostic Imaging and Testing,X-ray: Chest,0,Adventist Tillamook Reg Med Ctr,369,110,126,127,377,100,110,127,16,0.145
Diagnostic Imaging and Testing,X-ray: Chest,0,Asante Ashland Comm Hosp,157,186,256,271,182,221,256,271,0,0
Diagnostic Imaging and Testing,X-ray: Chest,0,Asante Rogue Valley Med Ctr,692,236,251,255,636,221,221,236,30,0.136
Diagnostic Imaging and Testing,X-ray: Chest,0,Asante Three Rivers Med Ctr,318,222,237,247,308,221,229,249,8,0.035
Diagnostic Imaging and Testing,X-ray: Chest,0,Blue Mountain Hosp,66,246,249,464,55,241,246,454,3,0.012
Diagnostic Imaging and Testing,X-ray: Chest,0,Columbia Mem Hosp,250,222,232,238,231,222,238,240,-6,-0.025
Diagnostic Imaging and Testing,X-ray: Chest,0,Coquille Valley Hosp,52,203,214,334,44,200,216,391,-2,-0.009
Diagnostic Imaging and Testing,X-ray: Chest,0,Curry Gen Hosp,237,189,200,220,207,189,190,210,10,0.053
Diagnostic Imaging and Testing,X-ray: Chest,0,Good Samaritan Regional Med Ctr,378,246,258,265,363,249,256,257,2,0.008
Diagnostic Imaging and Testing,X-ray: Chest,0,Good Shepherd Med Ctr,165,344,365,496,156,324,341,399,24,0.07
Diagnostic Imaging and Testing,X-ray: Chest,0,Grande Ronde Hosp,272,294,307,446,292,283,294,479,13,0.044
Diagnostic Imaging and Testing,X-ray: Chest,0,Harney District Hosp,64,233,245,396,73,225,236,358,9,0.038
Diagnostic Imaging and Testing,X-ray: Chest,0,Kaiser Sunnyside Med Ctr,301,99,158,4645,370,84,635,7797,-477,-0.751
Diagnostic Imaging and Testing,X-ray: Chest,0,Kaiser Westside Med Ctr,700,96,110,110,654,81,84,122,26,0.31
Diagnostic Imaging and Testing,X-ray: Chest,0,Lake District Hosp,34,293,296,308,36,282,293,293,3,0.01
