Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018"
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Providence Willamette Falls Med Ctr,27,411,533,991
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Salem Health Salem Hosp,52,804,923,1187
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Samaritan North Lincoln Hosp,13,961,1012,1033
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Sky Lakes Med Ctr,10,1178,1424,1620
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Tuality Comm Hosp,14,1009,1187,1363
Diagnostic Imaging and Testing,Nuclear medicine: Musculoskeletal,0,Willamette Valley Med Ctr,17,1119,1783,2527
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,1,Statewide,199,602,958,1336
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Kaiser Sunnyside Med Ctr,32,602,690,690
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Kaiser Westside Med Ctr,20,602,690,824
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,OHSU Hosp,27,1219,1280,1371
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,15,457,1203,1588
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Providence Portland Med Ctr,11,225,237,976
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Providence St Vincent Med Ctr,28,234,576,1319
Diagnostic Imaging and Testing,Nuclear medicine: Urinary,0,Samaritan Albany Gen Hosp,11,853,1086,1694
Diagnostic Imaging and Testing,Ultrasound,1,Statewide,64346,275,416,698
Diagnostic Imaging and Testing,Ultrasound,0,Adventist Med Ctr,910,331,442,663
Diagnostic Imaging and Testing,Ultrasound,0,Adventist Tillamook Reg Med Ctr,251,445,464,820
Diagnostic Imaging and Testing,Ultrasound,0,Asante Ashland Comm Hosp,567,432,637,1029
Diagnostic Imaging and Testing,Ultrasound,0,Asante Rogue Valley Med Ctr,2114,351,583,807
Diagnostic Imaging and Testing,Ultrasound,0,Asante Three Rivers Med Ctr,929,327,437,657
Diagnostic Imaging and Testing,Ultrasound,0,Blue Mountain Hosp,126,408,490,887
Diagnostic Imaging and Testing,Ultrasound,0,Columbia Mem Hosp,502,428,588,945
Diagnostic Imaging and Testing,Ultrasound,0,Coquille Valley Hosp,98,515,627,846
Diagnostic Imaging and Testing,Ultrasound,0,Curry Gen Hosp,231,451,676,952
Diagnostic Imaging and Testing,Ultrasound,0,Good Samaritan Regional Med Ctr,1644,368,527,766
Diagnostic Imaging and Testing,Ultrasound,0,Good Shepherd Med Ctr,497,709,899,1460
Diagnostic Imaging and Testing,Ultrasound,0,Grande Ronde Hosp,794,421,675,1188
Diagnostic Imaging and Testing,Ultrasound,0,Harney District Hosp,234,462,624,901
Diagnostic Imaging and Testing,Ultrasound,0,Kaiser Sunnyside Med Ctr,7196,308,440,844
Diagnostic Imaging and Testing,Ultrasound,0,Kaiser Westside Med Ctr,4939,308,498,867
Diagnostic Imaging and Testing,Ultrasound,0,Lake District Hosp,73,514,594,1060
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Emanuel Med Ctr,1456,325,398,627
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Good Samaritan Med Ctr,2195,319,499,660
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Meridian Park Med Ctr,1418,314,382,610
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Mount Hood Med Ctr,1028,314,419,628
Diagnostic Imaging and Testing,Ultrasound,0,Legacy Silverton Med Ctr,1062,227,271,384
Diagnostic Imaging and Testing,Ultrasound,0,Lower Umpqua Hosp,48,601,713,941
Diagnostic Imaging and Testing,Ultrasound,0,McKenzie-Willamette Med Ctr,136,153,470,1050
Diagnostic Imaging and Testing,Ultrasound,0,Mercy Med Ctr,1442,384,551,808
Diagnostic Imaging and Testing,Ultrasound,0,Mid-Columbia Med Ctr,527,483,665,987
Diagnostic Imaging and Testing,Ultrasound,0,OHSU Hosp,5302,330,408,628
Diagnostic Imaging and Testing,Ultrasound,0,PeaceHealth Cottage Grove Comm Hosp,162,187,234,364
Diagnostic Imaging and Testing,Ultrasound,0,PeaceHealth Peace Harbor Med Ctr,159,196,250,404
Diagnostic Imaging and Testing,Ultrasound,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,26,282,387,429
Diagnostic Imaging and Testing,Ultrasound,0,Pioneer Mem Hosp-Heppner,31,618,718,769
Diagnostic Imaging and Testing,Ultrasound,0,Providence Hood River Mem Hosp,623,236,543,722
Diagnostic Imaging and Testing,Ultrasound,0,Providence Medford Med Ctr,1315,172,406,653
Diagnostic Imaging and Testing,Ultrasound,0,Providence Milwaukie Hosp,1740,145,298,362
Diagnostic Imaging and Testing,Ultrasound,0,Providence Newberg Med Ctr,1530,136,292,421
Diagnostic Imaging and Testing,Ultrasound,0,Providence Portland Med Ctr,6143,136,247,338
Diagnostic Imaging and Testing,Ultrasound,0,Providence Seaside Hosp,309,234,538,792
Diagnostic Imaging and Testing,Ultrasound,0,Providence St Vincent Med Ctr,5051,143,274,390
Diagnostic Imaging and Testing,Ultrasound,0,Providence Willamette Falls Med Ctr,1613,143,255,368
Diagnostic Imaging and Testing,Ultrasound,0,Salem Health Salem Hosp,1160,254,404,483
Diagnostic Imaging and Testing,Ultrasound,0,Salem Health West Valley Hosp,519,336,524,706
Diagnostic Imaging and Testing,Ultrasound,0,Samaritan Albany Gen Hosp,1333,366,477,766
Diagnostic Imaging and Testing,Ultrasound,0,Samaritan Lebanon Comm Hosp,690,366,527,743
Diagnostic Imaging and Testing,Ultrasound,0,Samaritan North Lincoln Hosp,292,375,555,728
Diagnostic Imaging and Testing,Ultrasound,0,Samaritan Pacific Comm Hosp,414,380,552,728
Diagnostic Imaging and Testing,Ultrasound,0,Santiam Hosp,655,215,373,617
Diagnostic Imaging and Testing,Ultrasound,0,Shriners Hosp for Children-Portland,14,158,215,221
Diagnostic Imaging and Testing,Ultrasound,0,Sky Lakes Med Ctr,1334,636,738,1218
Diagnostic Imaging and Testing,Ultrasound,0,Southern Coos Hosp and Hlth Ctr,98,383,439,665
Diagnostic Imaging and Testing,Ultrasound,0,St Alphonsus Med Ctr-Baker City,207,441,568,1108
Diagnostic Imaging and Testing,Ultrasound,0,St Alphonsus Med Ctr-Ontario,163,355,466,592
Diagnostic Imaging and Testing,Ultrasound,0,St Anthony Hospital,430,555,727,1341
Diagnostic Imaging and Testing,Ultrasound,0,St Charles Med Ctr-Bend,140,309,476,686
Diagnostic Imaging and Testing,Ultrasound,0,St Charles Med Ctr-Madras,140,359,546,861
Diagnostic Imaging and Testing,Ultrasound,0,St Charles Med Ctr-Prineville,200,311,515,581
Diagnostic Imaging and Testing,Ultrasound,0,St Charles Med Ctr-Redmond,311,361,573,767
Diagnostic Imaging and Testing,Ultrasound,0,Tuality Comm Hosp,934,336,467,707
Diagnostic Imaging and Testing,Ultrasound,0,Wallowa Mem Hosp,181,427,560,1134
Diagnostic Imaging and Testing,Ultrasound,0,Willamette Valley Med Ctr,710,334,406,669
Diagnostic Imaging and Testing,X-ray: Abdomen GI,1,Statewide,5579,119,207,340
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Adventist Med Ctr,53,149,218,349
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Adventist Tillamook Reg Med Ctr,47,125,142,217
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Asante Rogue Valley Med Ctr,181,237,251,462
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Asante Three Rivers Med Ctr,62,223,237,330
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Blue Mountain Hosp,20,196,388,396
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Columbia Mem Hosp,78,190,198,202
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Curry Gen Hosp,49,211,225,259
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Good Samaritan Regional Med Ctr,145,217,256,484
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Good Shepherd Med Ctr,66,354,380,719
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Grande Ronde Hosp,58,223,309,430
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Harney District Hosp,24,245,253,472
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Kaiser Sunnyside Med Ctr,111,321,321,368
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Kaiser Westside Med Ctr,283,90,102,122
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Emanuel Med Ctr,206,191,232,328
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Good Samaritan Med Ctr,128,168,200,307
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Meridian Park Med Ctr,185,179,200,232
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Mount Hood Med Ctr,75,185,206,352
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Legacy Silverton Med Ctr,86,41,50,86
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,McKenzie-Willamette Med Ctr,48,119,308,902
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Mercy Med Ctr,228,263,366,425
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Mid-Columbia Med Ctr,57,186,259,590
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,OHSU Hosp,541,188,292,542
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,PeaceHealth Cottage Grove Comm Hosp,11,62,66,70
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,PeaceHealth Peace Harbor Med Ctr,11,65,134,141
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,54,222,253,745
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Hood River Mem Hosp,62,122,158,381
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Medford Med Ctr,127,150,195,294
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Milwaukie Hosp,205,34,85,166
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Newberg Med Ctr,247,38,131,183
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Portland Med Ctr,347,34,62,144
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Seaside Hosp,34,132,149,444
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence St Vincent Med Ctr,614,34,115,172
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Providence Willamette Falls Med Ctr,106,35,127,191
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Salem Health Salem Hosp,142,116,168,253
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Salem Health West Valley Hosp,19,107,150,160
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Samaritan Albany Gen Hosp,158,217,230,249
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Samaritan Lebanon Comm Hosp,82,223,223,465
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Samaritan North Lincoln Hosp,27,218,257,465
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Samaritan Pacific Comm Hosp,59,218,218,252
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Santiam Hosp,86,169,225,368
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Sky Lakes Med Ctr,169,280,301,490
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Alphonsus Med Ctr-Ontario,22,216,360,491
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Anthony Hospital,40,326,343,343
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Charles Med Ctr-Bend,29,196,207,231
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Charles Med Ctr-Madras,23,212,234,483
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Charles Med Ctr-Prineville,20,215,263,295
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,St Charles Med Ctr-Redmond,24,208,251,359
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Tuality Comm Hosp,56,143,189,282
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Wallowa Mem Hosp,12,229,333,342
Diagnostic Imaging and Testing,X-ray: Abdomen GI,0,Willamette Valley Med Ctr,23,177,185,192
Diagnostic Imaging and Testing,X-ray: Chest,1,Statewide,20699,74,189,257
Diagnostic Imaging and Testing,X-ray: Chest,0,Adventist Med Ctr,301,149,180,294
Diagnostic Imaging and Testing,X-ray: Chest,0,Adventist Tillamook Reg Med Ctr,369,110,126,127
Diagnostic Imaging and Testing,X-ray: Chest,0,Asante Ashland Comm Hosp,157,186,256,271
Diagnostic Imaging and Testing,X-ray: Chest,0,Asante Rogue Valley Med Ctr,692,236,251,255
Diagnostic Imaging and Testing,X-ray: Chest,0,Asante Three Rivers Med Ctr,318,222,237,247
Diagnostic Imaging and Testing,X-ray: Chest,0,Blue Mountain Hosp,66,246,249,464
Diagnostic Imaging and Testing,X-ray: Chest,0,Columbia Mem Hosp,250,222,232,238
Diagnostic Imaging and Testing,X-ray: Chest,0,Coquille Valley Hosp,52,203,214,334
Diagnostic Imaging and Testing,X-ray: Chest,0,Curry Gen Hosp,237,189,200,220
Diagnostic Imaging and Testing,X-ray: Chest,0,Good Samaritan Regional Med Ctr,378,246,258,265
Diagnostic Imaging and Testing,X-ray: Chest,0,Good Shepherd Med Ctr,165,344,365,496
Diagnostic Imaging and Testing,X-ray: Chest,0,Grande Ronde Hosp,272,294,307,446
Diagnostic Imaging and Testing,X-ray: Chest,0,Harney District Hosp,64,233,245,396
Diagnostic Imaging and Testing,X-ray: Chest,0,Kaiser Sunnyside Med Ctr,301,99,158,4645
Diagnostic Imaging and Testing,X-ray: Chest,0,Kaiser Westside Med Ctr,700,96,110,110
Diagnostic Imaging and Testing,X-ray: Chest,0,Lake District Hosp,34,293,296,308
Diagnostic Imaging and Testing,X-ray: Chest,0,Legacy Emanuel Med Ctr,391,189,191,305
Diagnostic Imaging and Testing,X-ray: Chest,0,Legacy Good Samaritan Med Ctr,601,189,208,261
Diagnostic Imaging and Testing,X-ray: Chest,0,Legacy Meridian Park Med Ctr,474,187,191,253
Diagnostic Imaging and Testing,X-ray: Chest,0,Legacy Mount Hood Med Ctr,253,187,191,253
Diagnostic Imaging and Testing,X-ray: Chest,0,Legacy Silverton Med Ctr,432,52,54,64
Diagnostic Imaging and Testing,X-ray: Chest,0,Lower Umpqua Hosp,50,331,575,597
Diagnostic Imaging and Testing,X-ray: Chest,0,McKenzie-Willamette Med Ctr,60,112,701,1432
Diagnostic Imaging and Testing,X-ray: Chest,0,Mercy Med Ctr,703,259,305,329
Diagnostic Imaging and Testing,X-ray: Chest,0,Mid-Columbia Med Ctr,144,211,295,312
Diagnostic Imaging and Testing,X-ray: Chest,0,OHSU Hosp,1736,182,236,335
Diagnostic Imaging and Testing,X-ray: Chest,0,PeaceHealth Cottage Grove Comm Hosp,118,65,66,72
Diagnostic Imaging and Testing,X-ray: Chest,0,PeaceHealth Peace Harbor Med Ctr,84,65,66,69
Diagnostic Imaging and Testing,X-ray: Chest,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,71,183,471,5032
Diagnostic Imaging and Testing,X-ray: Chest,0,Pioneer Mem Hosp-Heppner,26,197,200,207
Diagnostic Imaging and Testing,X-ray: Chest,0,Providence Hood River Mem Hosp,241,162,185,200
Diagnostic Imaging and Testing,X-ray: Chest,0,Providence Medford Med Ctr,317,108,212,261
Diagnostic Imaging and Testing,X-ray: Chest,0,Providence Milwaukie Hosp,1198,36,43,107
Diagnostic Imaging and Testing,X-ray: Chest,0,Providence Newberg Med Ctr,921,41,52,100
Diagnostic Imaging and Testing,X-ray: Chest,0,Providence Portland Med Ctr,1936,36,42,107
Diagnostic Imaging and Testing,X-ray: Chest,0,Providence Seaside Hosp,235,102,219,223
Diagnostic Imaging and Testing,X-ray: Chest,0,Providence St Vincent Med Ctr,2158,36,58,107
Diagnostic Imaging and Testing,X-ray: Chest,0,Providence Willamette Falls Med Ctr,684,37,59,107
Diagnostic Imaging and Testing,X-ray: Chest,0,Salem Health Salem Hosp,588,86,160,180
Diagnostic Imaging and Testing,X-ray: Chest,0,Salem Health West Valley Hosp,109,150,160,178
Diagnostic Imaging and Testing,X-ray: Chest,0,Samaritan Albany Gen Hosp,186,245,257,259
Diagnostic Imaging and Testing,X-ray: Chest,0,Samaritan Lebanon Comm Hosp,152,257,257,360
Diagnostic Imaging and Testing,X-ray: Chest,0,Samaritan North Lincoln Hosp,108,252,257,257
Diagnostic Imaging and Testing,X-ray: Chest,0,Samaritan Pacific Comm Hosp,210,239,257,257
Diagnostic Imaging and Testing,X-ray: Chest,0,Santiam Hosp,500,112,223,225
Diagnostic Imaging and Testing,X-ray: Chest,0,Sky Lakes Med Ctr,440,302,326,330
Diagnostic Imaging and Testing,X-ray: Chest,0,Southern Coos Hosp and Hlth Ctr,45,162,236,252
Diagnostic Imaging and Testing,X-ray: Chest,0,St Alphonsus Med Ctr-Baker City,34,220,236,239
Diagnostic Imaging and Testing,X-ray: Chest,0,St Alphonsus Med Ctr-Ontario,63,159,164,246
Diagnostic Imaging and Testing,X-ray: Chest,0,St Anthony Hospital,132,356,374,615
Diagnostic Imaging and Testing,X-ray: Chest,0,St Charles Med Ctr-Bend,107,219,257,328
Diagnostic Imaging and Testing,X-ray: Chest,0,St Charles Med Ctr-Madras,78,232,277,296
Diagnostic Imaging and Testing,X-ray: Chest,0,St Charles Med Ctr-Prineville,109,232,277,283
Diagnostic Imaging and Testing,X-ray: Chest,0,St Charles Med Ctr-Redmond,106,208,253,283
Diagnostic Imaging and Testing,X-ray: Chest,0,Tuality Comm Hosp,309,143,189,242
Diagnostic Imaging and Testing,X-ray: Chest,0,Wallowa Mem Hosp,61,221,232,250
Diagnostic Imaging and Testing,X-ray: Chest,0,Willamette Valley Med Ctr,172,179,185,259
Diagnostic Imaging and Testing,X-ray: Extremities,1,Statewide,51168,93,184,292
Diagnostic Imaging and Testing,X-ray: Extremities,0,Adventist Med Ctr,568,146,180,298
Diagnostic Imaging and Testing,X-ray: Extremities,0,Adventist Tillamook Reg Med Ctr,921,126,142,248
Diagnostic Imaging and Testing,X-ray: Extremities,0,Asante Ashland Comm Hosp,303,232,276,505
Diagnostic Imaging and Testing,X-ray: Extremities,0,Asante Rogue Valley Med Ctr,1229,232,251,267
Diagnostic Imaging and Testing,X-ray: Extremities,0,Asante Three Rivers Med Ctr,615,177,232,243
Diagnostic Imaging and Testing,X-ray: Extremities,0,Blue Mountain Hosp,146,229,239,445
Diagnostic Imaging and Testing,X-ray: Extremities,0,Columbia Mem Hosp,1040,267,304,536
Diagnostic Imaging and Testing,X-ray: Extremities,0,Coquille Valley Hosp,113,197,214,423
Diagnostic Imaging and Testing,X-ray: Extremities,0,Curry Gen Hosp,362,185,211,355
Diagnostic Imaging and Testing,X-ray: Extremities,0,Good Samaritan Regional Med Ctr,538,207,237,265
Diagnostic Imaging and Testing,X-ray: Extremities,0,Good Shepherd Med Ctr,754,334,351,472
Diagnostic Imaging and Testing,X-ray: Extremities,0,Grande Ronde Hosp,1132,168,317,523
Diagnostic Imaging and Testing,X-ray: Extremities,0,Harney District Hosp,234,238,251,477
Diagnostic Imaging and Testing,X-ray: Extremities,0,Kaiser Sunnyside Med Ctr,280,130,163,576
Diagnostic Imaging and Testing,X-ray: Extremities,0,Kaiser Westside Med Ctr,4098,118,149,246
Diagnostic Imaging and Testing,X-ray: Extremities,0,Lake District Hosp,97,249,263,315
Diagnostic Imaging and Testing,X-ray: Extremities,0,Legacy Emanuel Med Ctr,597,150,196,554
Diagnostic Imaging and Testing,X-ray: Extremities,0,Legacy Good Samaritan Med Ctr,1039,130,191,309
Diagnostic Imaging and Testing,X-ray: Extremities,0,Legacy Meridian Park Med Ctr,840,134,191,310
Diagnostic Imaging and Testing,X-ray: Extremities,0,Legacy Mount Hood Med Ctr,550,127,191,220
Diagnostic Imaging and Testing,X-ray: Extremities,0,Legacy Silverton Med Ctr,1809,64,79,136
Diagnostic Imaging and Testing,X-ray: Extremities,0,Lower Umpqua Hosp,85,270,283,426
Diagnostic Imaging and Testing,X-ray: Extremities,0,McKenzie-Willamette Med Ctr,42,110,431,3334
Diagnostic Imaging and Testing,X-ray: Extremities,0,Mercy Med Ctr,1492,230,292,441
Diagnostic Imaging and Testing,X-ray: Extremities,0,Mid-Columbia Med Ctr,665,185,274,491
Diagnostic Imaging and Testing,X-ray: Extremities,0,OHSU Hosp,6674,176,228,357
Diagnostic Imaging and Testing,X-ray: Extremities,0,PeaceHealth Cottage Grove Comm Hosp,231,61,68,106
Diagnostic Imaging and Testing,X-ray: Extremities,0,PeaceHealth Peace Harbor Med Ctr,155,60,66,120
Diagnostic Imaging and Testing,X-ray: Extremities,0,Pioneer Mem Hosp-Heppner,97,225,260,449
Diagnostic Imaging and Testing,X-ray: Extremities,0,Providence Hood River Mem Hosp,621,179,214,396
Diagnostic Imaging and Testing,X-ray: Extremities,0,Providence Medford Med Ctr,579,67,211,353
Diagnostic Imaging and Testing,X-ray: Extremities,0,Providence Milwaukie Hosp,2155,40,57,134
Diagnostic Imaging and Testing,X-ray: Extremities,0,Providence Newberg Med Ctr,2558,45,64,140
Diagnostic Imaging and Testing,X-ray: Extremities,0,Providence Portland Med Ctr,4792,41,58,134
Diagnostic Imaging and Testing,X-ray: Extremities,0,Providence Seaside Hosp,468,59,293,574
Diagnostic Imaging and Testing,X-ray: Extremities,0,Providence St Vincent Med Ctr,4203,40,79,138
